Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
DE,US,3/14/20,6,0,0,39.3185,-75.5071
MS,US,3/14/20,6,0,0,32.7416,-89.6787
MT,US,3/14/20,5,0,0,46.9219,-110.4544
VT,US,3/14/20,5,0,0,44.0459,-72.7107
HI,US,3/14/20,4,0,0,21.0943,-157.4983
MO,US,3/14/20,4,0,0,38.4561,-92.2884
OK,US,3/14/20,4,0,0,35.5653,-96.9289
ME,US,3/14/20,3,0,0,44.6939,-69.3819
Puerto Rico,US,3/14/20,3,0,0,18.2208,-66.5901
ID,US,3/14/20,2,0,0,44.2405,-114.4788
WY,US,3/14/20,2,0,0,42.756,-107.3025
"Virgin Islands, U.S.",US,3/14/20,1,0,0,18.3358,-64.8963
NY,US,3/15/20,732,3,0,42.1657,-74.9481
WA,US,3/15/20,643,40,1,47.4009,-121.4905
CA,US,3/15/20,426,6,6,36.1162,-119.6816
FL,US,3/15/20,115,4,0,27.7663,-81.6868
GA,US,3/15/20,99,1,0,33.0406,-83.6431
LA,US,3/15/20,91,2,0,31.1695,-91.8678
NJ,US,3/15/20,98,2,0,40.2989,-74.521
IL,US,3/15/20,93,0,2,40.3495,-88.9861
TX,US,3/15/20,72,0,0,31.0545,-97.5635
VA,US,3/15/20,45,1,0,37.7693,-78.17
OR,US,3/15/20,36,1,0,44.571999999999996,-122.0709
MN,US,3/15/20,35,0,0,45.6945,-93.9002
MI,US,3/15/20,33,0,0,43.3266,-84.5361
NC,US,3/15/20,33,0,0,35.6301,-79.8064
MD,US,3/15/20,32,0,0,39.0639,-76.8021
OH,US,3/15/20,37,0,0,40.3888,-82.7649
WI,US,3/15/20,32,0,1,44.2685,-89.6165
CT,US,3/15/20,24,0,0,41.5978,-72.7554
UT,US,3/15/20,28,0,0,40.15,-111.8624
IN,US,3/15/20,20,0,0,39.8494,-86.2583
IA,US,3/15/20,18,0,0,42.0115,-93.2105
KY,US,3/15/20,20,0,0,37.6681,-84.6701
NE,US,3/15/20,17,0,0,41.1254,-98.2681
AR,US,3/15/20,16,0,0,34.9697,-92.3731
DC,US,3/15/20,16,0,0,38.8974,-77.0268
NM,US,3/15/20,13,0,0,34.8405,-106.2485
AL,US,3/15/20,12,0,0,32.3182,-86.9023
MT,US,3/15/20,7,0,0,46.9219,-110.4544
HI,US,3/15/20,6,0,0,21.0943,-157.4983
ME,US,3/15/20,12,0,0,44.6939,-69.3819
ID,US,3/15/20,5,0,0,44.2405,-114.4788
MO,US,3/15/20,5,0,0,38.4561,-92.2884
Guam,US,3/15/20,3,0,0,13.4443,144.7937
WY,US,3/15/20,3,0,0,42.756,-107.3025
NY,US,3/16/20,967,10,0,42.1657,-74.9481
WA,US,3/16/20,904,48,1,47.4009,-121.4905
CA,US,3/16/20,557,7,6,36.1162,-119.6816
MA,US,3/16/20,197,0,1,42.2302,-71.5301
NJ,US,3/16/20,178,2,1,40.2989,-74.521
CO,US,3/16/20,160,1,0,39.0598,-105.3111
FL,US,3/16/20,155,5,0,27.7663,-81.6868
LA,US,3/16/20,136,3,0,31.1695,-91.8678
GA,US,3/16/20,121,1,0,33.0406,-83.6431
IL,US,3/16/20,105,0,2,40.3495,-88.9861
TX,US,3/16/20,85,0,0,31.0545,-97.5635
PA,US,3/16/20,77,0,0,40.5908,-77.2098
MN,US,3/16/20,54,0,0,45.6945,-93.9002
MI,US,3/16/20,53,0,0,43.3266,-84.5361
TN,US,3/16/20,52,0,0,35.7478,-86.6923
OH,US,3/16/20,50,0,0,40.3888,-82.7649
VA,US,3/16/20,49,1,0,37.7693,-78.17
Diamond Princess,US,3/16/20,47,0,0,35.4437,139.638
WI,US,3/16/20,47,0,1,44.2685,-89.6165
NV,US,3/16/20,45,1,0,38.3135,-117.0554
MD,US,3/16/20,41,0,3,39.0639,-76.8021
OR,US,3/16/20,39,1,0,44.572,-122.0709
UT,US,3/16/20,39,0,0,40.15,-111.8624
NC,US,3/16/20,38,0,0,35.6301,-79.8064
SC,US,3/16/20,33,1,0,33.8569,-80.945
CT,US,3/16/20,30,0,0,41.5978,-72.7554
AL,US,3/16/20,29,0,0,32.3182,-86.9023
IN,US,3/16/20,25,1,0,39.8494,-86.2583
IA,US,3/16/20,23,0,0,42.0115,-93.2105
AR,US,3/16/20,22,0,0,34.9697,-92.3731
DC,US,3/16/20,22,0,0,38.8974,-77.0268
KY,US,3/16/20,21,1,1,37.6681,-84.6701
RI,US,3/16/20,21,0,0,41.6809,-71.5118
Grand Princess,US,3/16/20,20,0,0,37.6489,-122.6655
AZ,US,3/16/20,18,0,1,33.7298,-111.4312
NE,US,3/16/20,18,0,0,41.1254,-98.2681
ME,US,3/16/20,17,0,0,44.6939,-69.3819
NH,US,3/16/20,17,0,0,43.4525,-71.5639
NM,US,3/16/20,17,0,0,34.8405,-106.2485
MS,US,3/16/20,13,0,0,32.7416,-89.6787
VT,US,3/16/20,12,0,0,44.0459,-72.7107
KS,US,3/16/20,11,1,0,38.5266,-96.7265
OK,US,3/16/20,10,0,0,35.5653,-96.9289
SD,US,3/16/20,10,1,0,44.2998,-99.4388
DE,US,3/16/20,8,0,0,39.3185,-75.5071
HI,US,3/16/20,7,0,0,21.0943,-157.4983
MO,US,3/16/20,6,0,0,38.4561,-92.2884
Puerto Rico,US,3/16/20,5,0,0,18.2208,-66.5901
Virgin Islands,US,3/16/20,1,0,0,18.3358,-64.8963
NY,US,3/17/20,1706,13,0,42.1657,-74.9481
WA,US,3/17/20,1076,55,1,47.4009,-121.4905
CA,US,3/17/20,698,12,6,36.1162,-119.6816
NJ,US,3/17/20,267,3,1,40.2989,-74.521
MA,US,3/17/20,218,0,1,42.2302,-71.5301
FL,US,3/17/20,216,6,0,27.7663,-81.6868
LA,US,3/17/20,196,4,0,31.1695,-91.8678
IL,US,3/17/20,161,1,2,40.3495,-88.9861
CO,US,3/17/20,160,2,0,39.0598,-105.3111
GA,US,3/17/20,146,1,0,33.0406,-83.6431
PA,US,3/17/20,112,0,0,40.5908,-77.2098
TX,US,3/17/20,110,1,0,31.0545,-97.5635
TN,US,3/17/20,74,0,0,35.7478,-86.6923
WI,US,3/17/20,72,0,1,44.2685,-89.6165
CT,US,3/17/20,68,0,0,41.5978,-72.7554
OH,US,3/17/20,67,0,0,40.3888,-82.7649
VA,US,3/17/20,67,2,0,37.7693,-78.17
OR,US,3/17/20,66,1,0,44.572,-122.0709
MI,US,3/17/20,65,0,0,43.3266,-84.5361
NC,US,3/17/20,64,0,0,35.6301,-79.8064
MD,US,3/17/20,60,0,3,39.0639,-76.8021
MN,US,3/17/20,60,0,0,45.6945,-93.9002
NV,US,3/17/20,56,1,0,38.3135,-117.0554
UT,US,3/17/20,51,0,0,40.15,-111.8624
SC,US,3/17/20,47,1,0,33.8569,-80.945
AL,US,3/17/20,39,0,0,32.3182,-86.9023
ME,US,3/17/20,32,0,0,44.6939,-69.3819
IN,US,3/17/20,30,2,0,39.8494,-86.2583
KY,US,3/17/20,26,1,1,37.6681,-84.6701
NH,US,3/17/20,26,0,0,43.4525,-71.5639
NM,US,3/17/20,23,0,0,34.8405,-106.2485
RI,US,3/17/20,23,0,0,41.6809,-71.5118
