Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
xi,Mainland China,03/06/2020,935,1,909,27.614,115.7221
ng,Mainland China,03/06/2020,758,6,618,36.3427,118.1498
ip,Others,03/06/2020,696,6,40,35.4437,139.638
ne,Germany,03/06/2020,670,0,17,51.0,9.0
ne,France,03/06/2020,653,9,12,47.0,2.0
su,Mainland China,03/06/2020,631,0,594,32.9711,119.455
ng,Mainland China,03/06/2020,576,6,513,30.0572,107.874
an,Mainland China,03/06/2020,539,3,442,30.6171,102.7103
ng,Mainland China,03/06/2020,481,13,396,47.862,127.7615
ng,Mainland China,03/06/2020,422,8,299,40.1824,116.4142
ne,Japan,03/06/2020,420,6,46,36.0,138.0
ne,Spain,03/06/2020,400,5,2,40.0,-4.0
ai,Mainland China,03/06/2020,342,3,306,31.202,121.4491
ei,Mainland China,03/06/2020,318,6,305,38.0428,114.5149
an,Mainland China,03/06/2020,296,1,284,26.0789,117.9874
xi,Mainland China,03/06/2020,252,2,217,23.8298,108.7881
xi,Mainland China,03/06/2020,245,1,226,35.1917,108.8701
ne,Switzerland,03/06/2020,214,1,3,46.8182,8.2275
an,Mainland China,03/06/2020,174,2,170,24.974,101.487
ne,UK,03/06/2020,163,2,8,55.0,-3.0
ne,Singapore,03/06/2020,130,0,78,1.2833,103.8333
ne,Netherlands,03/06/2020,128,1,0,52.1326,5.2913
