Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
KY,US,03/17/2020,26.0,1.0,1.0
NH,US,03/17/2020,26.0,0.0,0.0
NM,US,03/17/2020,23.0,0.0,0.0
RI,US,03/17/2020,23.0,0.0,0.0
MS,US,03/17/2020,21.0,0.0,0.0
NE,US,03/17/2020,21.0,0.0,0.0
AZ,US,03/17/2020,20.0,0.0,1.0
OK,US,03/17/2020,19.0,0.0,0.0
KS,US,03/17/2020,18.0,1.0,0.0
DE,US,03/17/2020,16.0,0.0,0.0
MO,US,03/17/2020,11.0,0.0,0.0
SD,US,03/17/2020,11.0,1.0,0.0
WY,US,03/17/2020,11.0,0.0,0.0
HI,US,03/17/2020,10.0,0.0,0.0
MT,US,03/17/2020,9.0,0.0,0.0
ID,US,03/17/2020,8.0,0.0,0.0
AK,US,03/17/2020,3.0,0.0,0.0
ND,US,03/17/2020,3.0,0.0,0.0
WV,US,03/17/2020,1.0,0.0,0.0
NY,US,03/18/2020,2495.0,16.0,0.0
WA,US,03/18/2020,1014.0,55.0,0.0
CA,US,03/18/2020,751.0,13.0,0.0
FL,US,03/18/2020,314.0,7.0,0.0
NJ,US,03/18/2020,267.0,3.0,0.0
LA,US,03/18/2020,257.0,4.0,0.0
MA,US,03/18/2020,218.0,0.0,0.0
GA,US,03/18/2020,199.0,3.0,0.0
CO,US,03/18/2020,184.0,2.0,0.0
TX,US,03/18/2020,173.0,3.0,0.0
IL,US,03/18/2020,162.0,1.0,0.0
PA,US,03/18/2020,152.0,0.0,0.0
WI,US,03/18/2020,92.0,0.0,0.0
